site,plot,site_plot,quad,spp,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,ttl_ht_only,cones,dead_stressed,browsed,form_prob,seedling,uncertainty,tally_num,record_expand_plot,record_expand_site,trees_per_plot,trees_per_site,trees_per_ha,ttl_ht,ht_2006,ht_2007,ht_2008,ht_2009,ht_2010,ht_2011,ht_2012,ht_2013,ht_2014,ht_2015,ht_2016,grwth_2006,grwth_2007,grwth_2008,grwth_2009,grwth_2010,grwth_2011,grwth_2012,grwth_2013,grwth_2014,grwth_2015,grwth_2016,grwth_avg_Ngerm_Y16,grwth_avg_Ngerm_N16,yrs_grwth_inclusive,estab_yr,yr1GTE10_estab_yr,yr1GTE20_estab_yr
S-000-001,C,S-000-001_C,SE,PICO,4,8,12,18,22,28,39,,,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,39,,,,,4,8,12,18,22,28,39,,,,,,4,4,6,4,6,11,5.833333333,4.8,7,2010,2010,2010
S-000-001,C,S-000-001_C,SW,PSME,5,8,14,19,26,34,40,46,,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,46,,,,5,8,14,19,26,34,40,46,,,,,3,6,5,7,8,6,6,5.857142857,5.833333333,8,2009,2009,2009
S-000-001,C,S-000-001_C,NE,PSME,5,9,15,23,33,46,58,64,,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,64,,,,5,9,15,23,33,46,58,64,,,,,4,6,8,10,13,12,6,8.428571429,8.833333333,8,2009,2009,2009
S-000-001,C,S-000-001_C,SE,PSME,5,9,15,22,30,34,40,57,,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,57,,,,5,9,15,22,30,34,40,57,,,,,4,6,7,8,4,6,17,7.428571429,5.833333333,8,2009,2009,2009
S-000-001,C,S-000-001_C,SW,PSME,2,8,12,24,36,45,51,,,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,51,,,,,2,8,12,24,36,45,51,,,,,,6,4,12,12,9,6,8.166666667,8.6,7,2010,2010,2010
S-000-001,C,S-000-001_C,SW,PSME,6,13,20,33,45,65,86,100,,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,100,,,,6,13,20,33,45,65,86,100,,,,,7,7,13,12,20,21,14,13.42857143,13.33333333,8,2009,2009,2009
S-000-001,C,S-000-001_C,SE,PICO,4,9,17,24,31,49,59,75,91,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,91,,,4,9,17,24,31,49,59,75,91,,,,5,8,7,7,18,10,16,16,10.875,10.14285714,9,2008,2008,2008
S-000-001,C,S-000-001_C,SE,PSME,4,12,16,26,32,43,54,65,76,,,NA,NO,NO,NO,NO,NO,NONE,1,1,1,1,1,25.46479089,76,,,4,12,16,26,32,43,54,65,76,,,,8,4,10,6,11,11,11,11,9,8.714285714,9,2008,2008,2008
S-000-001,C,S-000-001_C,NE,PICO,11,16,26,35,46,57,73,84,,,,NA,NO,NO,NO,NO,NO,YR1GTE10,1,1,1,1,1,25.46479089,84,,,,11,16,26,35,46,57,73,84,,,,,5,10,9,11,11,16,11,10.42857143,10.33333333,8,2009,2008,2008
S-000-001,C,S-000-001_C,NE,PICO,10,13,25,33,41,54,70,80,,,,NA,NO,NO,NO,NO,NO,YR1GTE10,1,1,1,1,1,25.46479089,80,,,,10,13,25,33,41,54,70,80,,,,,3,12,8,8,13,16,10,10,10,8,2009,2008,2008
