Site,AREA_SAMPLED_HA
S-000-001,0.039269908
S-111-009,0.039269908
S-111-011,0.023561945
S-112-016,0.039269908
S-113-024,0.039269908
S-121-026,0.039269908
S-121-035,0.031415927
S-122-038,0.039269908
S-122-039,0.039269908
S-123-051,0.039269908
S-130-076,0.023561945
S-131-056,0.023561945
S-131-060,0.023561945
S-131-062,0.039269908
S-133-082,0.039269908
S-211-127,0.039269908
S-212-140,0.039269908
S-212-147,0.039269908
S-213-161,0.039269908
S-213-168,0.039269908
S-221-185,0.039269908
S-221-211,0.039269908
S-222-231,0.039269908
S-222-237,0.039269908
S-223-241,0.039269908
S-231-257,0.039269908
S-231-258,0.039269908
S-231-268,0.039269908
S-231-304,0.039269908
S-232-323,0.039269908
S-233-339,0.039269908
S-233-346,0.039269908
S-300-369,0.039269908
S-312-427,0.039269908
S-312-428,0.039269908
S-312-441,0.039269908
S-312-452,0.039269908
S-313-475,0.039269908
S-313-477,0.039269908
S-321-502,0.039269908
S-322-554,0.039269908
S-322-574,0.039269908
S-322-575,0.031415927
S-322-577,0.039269908
S-323-608,0.039269908
S-323-611,0.039269908
S-323-641,0.039269908
S-331-665,0.039269908
S-332-720,0.039269908
S-333-726,0.039269908
S-333-734,0.039269908
