FID,site,lat,long,dem10,dem100,asp10,asp100,trasp10,trasp100,slp10,slp100,hli10,hli100,srad10,srad100,cti10,cti100
0,S-333-734,48.598595,-119.926957,1807.469971,1830.530029,172.477005,149.4720001,0.896655,0.746113,28.4757004,26.5242996,0.916865,0.792265,1397500,1382200,6.9033098,4.0961199
1,S-333-726,48.606368,-119.909309,1763.869995,1755.380005,165.2350006,170.1029968,0.855106,0.883699,30.7217007,24.3062,0.89359,0.881897,1405140,1398670,4.6147699,4.1960502
2,S-332-720,48.607164,-119.916926,1793.310059,1777.310059,146.8639984,151.6719971,0.726053,0.762641,32.6299019,19.9386997,0.779603,0.783111,1336770,1323810,3.84707,8.1764097
3,S-332-706,48.508414,-120.01784,1488.849976,1473.699951,143.9799957,145.9600067,0.703327,0.718993,14.6276999,14.1772003,0.732669,0.737184,1270460,1266900,4.7444401,6.3865199
4,S-331-665,48.50876,-120.0564,1480.589966,1478.880005,321.5119934,331.17099,0.316345,0.240911,23.1590004,24.9311008,0.671667,0.6125,891437,844206,4.2504101,4.1672502
5,S-323-641,48.648322,-119.977077,1765.810059,1759.550049,222.1210022,240.3540039,0.988808,0.93134,14.1992998,10.4336004,0.802608,0.778566,1298730,1246000,5.8740702,5.7863998
6,S-323-611,48.605691,-119.897901,1706.380005,1704.76001,192.3509979,222.1519928,0.976521,0.98875,21.8586006,21.1413002,0.908117,0.862723,1370490,1314490,6.7124901,5.0444598
7,S-323-608,48.619332,-119.982373,1695.890015,1698.439941,202.1190033,217.6210022,0.995304,0.995555,20.8019009,24.8610001,0.897041,0.904777,1354840,1330790,6.85395,4.1704502
8,S-322-577,48.602809,-119.917597,1772.689941,1781.76001,132.2649994,140.2180023,0.606334,0.672914,22.8076992,16.2635994,0.692738,0.724509,1314180,1326100,8.11761,4.6331201
9,S-322-575,48.63972126,-119.9776316,1669.75,1664.23999,152.1289978,151.0390015,0.766028,0.757927,14.7383003,15.4898005,0.759004,0.759671,1309330,1310600,4.7365799,6.29389
10,S-322-574,48.512387,-120.01934,1528.359985,1531.819946,221.2230072,167.3309937,0.990396,0.867744,11.7354002,10.5124998,0.780124,0.760922,1244010,1273500,6.3589902,9.4293604
11,S-322-554,48.530363,-119.998553,1571.880005,1570.729981,267.9809875,302.8930054,0.764874,0.474459,3.2592499,6.9786,0.693625,0.701752,1160310,1114890,6.26685,12.0711002
12,S-321-502,48.530629,-119.993265,1685.76001,1692.729981,346.3850098,322.3059998,0.137757,0.309917,14.6864996,17.4230995,0.591649,0.675133,993462,992641,5.83886,6.5060301
13,S-313-477,48.60417,-119.902637,1601.530029,1610.709961,207.8659973,218.4259949,0.999661,0.994572,16.2670002,14.7449999,0.844979,0.814546,1305300,1280050,8.2438202,7.5693102
